Year,File Name,File Date,Status (Sent or Not),Primary Folder Location,Sub Folder Location
2023,NMC7.MTPL.DMA,2023/9,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2023,NMC7.MTPL.DMA,2023/10,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2023,NMC7.MTPL.DMA,2023/11,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2023,NMC7.MTPL.DMA,2023/12,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/1,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/2,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/3,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/4,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/5,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/6,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/7,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/8,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/9,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/10,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/11,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2024,NMC7.MTPL.DMA,2024/12,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/1,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/2,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/3,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/4,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/5,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/6,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/7,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/8,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/9,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/10,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/11,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2025,NMC7.MTPL.DMA,2025/12,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2026,NMC7.MTPL.DMA,2026/1,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
2026,NMC7.MTPL.DMA,2026/2,Sent,NFOCUS_RECP_SLMB_PROV.ZIP,NFOCUS_RECP_SLMB_PROV.ZIP >Month (MMM-D-YYYY)
